id_oferta,id_curso,id_municipio,modalidade_graduacao,turno_graduacao,categoria_administrativa
47789,3202,3503307,EAD,Integral,Privada sem fins lucrativos
47790,3202,3503307,EAD,Matutino,Privada sem fins lucrativos
47791,3202,3503307,EAD,Vespertino,Privada sem fins lucrativos
47792,3002,3503307,EAD,Matutino,Privada sem fins lucrativos
47793,3002,3503307,EAD,Noturno,Privada sem fins lucrativos
47794,3002,3503307,EAD,Integral,Privada sem fins lucrativos
47795,3002,3503307,EAD,Vespertino,Privada sem fins lucrativos
47796,2402,3503307,EAD,Integral,Privada sem fins lucrativos
47797,2402,3503307,EAD,Noturno,Privada sem fins lucrativos
47798,2402,3503307,EAD,Matutino,Privada sem fins lucrativos
47799,2402,3503307,EAD,Vespertino,Privada sem fins lucrativos
47800,906,3503307,EAD,Integral,Privada sem fins lucrativos
47801,906,3503307,EAD,Noturno,Privada sem fins lucrativos
47802,906,3503307,EAD,Matutino,Privada sem fins lucrativos
47803,906,3503307,EAD,Vespertino,Privada sem fins lucrativos
47804,905,3503307,EAD,Integral,Privada sem fins lucrativos
47805,905,3503307,EAD,Noturno,Privada sem fins lucrativos
47806,905,3503307,EAD,Matutino,Privada sem fins lucrativos
47807,905,3503307,EAD,Vespertino,Privada sem fins lucrativos
47808,3202,2111300,EAD,Matutino,Pública Estadual
47809,3202,2111300,EAD,Noturno,Pública Estadual
47810,3202,2111300,EAD,Integral,Pública Estadual
47811,3202,2111300,EAD,Vespertino,Pública Estadual
47812,2001,2111300,EAD,Integral,Pública Estadual
47813,2001,2111300,EAD,Noturno,Pública Estadual
47814,2001,2111300,EAD,Vespertino,Pública Estadual
47815,2001,2111300,EAD,Matutino,Pública Estadual
47816,1601,4115200,Presencial,Noturno,Privada com fins lucrativos
47817,1601,4115200,Presencial,Vespertino,Privada com fins lucrativos
47818,1601,4115200,Presencial,Matutino,Privada com fins lucrativos
47819,1601,4115200,Presencial,Integral,Privada com fins lucrativos
47820,72,3529005,Presencial,Noturno,Privada com fins lucrativos
47821,72,3529005,Presencial,Integral,Privada com fins lucrativos
47822,72,3529005,Presencial,Matutino,Privada com fins lucrativos
47823,72,3529005,Presencial,Vespertino,Privada com fins lucrativos
47824,4005,3304706,Presencial,Integral,Pública Federal
47825,4005,3304706,Presencial,Matutino,Pública Federal
47826,4005,3304706,Presencial,Noturno,Pública Federal
47827,4005,3304706,Presencial,Vespertino,Pública Federal
47828,5402,3503307,EAD,Noturno,Privada sem fins lucrativos
47829,5402,3503307,EAD,Integral,Privada sem fins lucrativos
47830,5402,3503307,EAD,Matutino,Privada sem fins lucrativos
47831,5402,3503307,EAD,Vespertino,Privada sem fins lucrativos
47832,906,3503208,Presencial,Noturno,Pública Estadual
47833,906,3503208,Presencial,Integral,Pública Estadual
47834,906,3503208,Presencial,Matutino,Pública Estadual
47835,906,3503208,Presencial,Vespertino,Pública Estadual
47836,72,3502804,Presencial,Noturno,Privada com fins lucrativos
47837,72,3502804,Presencial,Integral,Privada com fins lucrativos
47838,3501,4313508,Presencial,Matutino,Privada sem fins lucrativos
47839,3202,2933307,Presencial,Integral,Pública Estadual
47840,3202,2933307,Presencial,Noturno,Pública Estadual
47841,3202,2933307,Presencial,Matutino,Pública Estadual
47842,3202,2933307,Presencial,Vespertino,Pública Estadual
47843,3502,3546603,Presencial,Matutino,Pública Municipal
47844,3502,3546603,Presencial,Noturno,Pública Municipal
47845,3502,3546603,Presencial,Integral,Pública Municipal
47846,3502,3546603,Presencial,Vespertino,Pública Municipal
47847,2501,4113700,Presencial,Noturno,Pública Estadual
47848,2501,4113700,Presencial,Integral,Pública Estadual
47849,2501,4113700,Presencial,Matutino,Pública Estadual
47850,2501,4113700,Presencial,Vespertino,Pública Estadual
47851,905,4102109,EAD,Integral,Pública Estadual
47852,905,4102109,EAD,Noturno,Pública Estadual
47853,905,4102109,EAD,Matutino,Pública Estadual
47854,905,4102109,EAD,Vespertino,Pública Estadual
47855,2501,5208707,EAD,Noturno,Pública Federal
47856,2501,5208707,EAD,Integral,Pública Federal
47857,2501,5208707,EAD,Matutino,Pública Federal
47858,904,1600303,Presencial,Noturno,Pública Estadual
47859,904,1600303,Presencial,Integral,Pública Estadual
47860,904,1600303,Presencial,Matutino,Pública Estadual
47861,904,1600303,Presencial,Vespertino,Pública Estadual
47862,1502,1600303,Presencial,Integral,Pública Estadual
47863,702,2401008,Presencial,Integral,Pública Estadual
47864,2001,1600303,Presencial,Integral,Pública Estadual
47865,2001,1600303,Presencial,Noturno,Pública Estadual
47866,2001,1600303,Presencial,Matutino,Pública Estadual
47867,4301,2611101,Presencial,Integral,Pública Federal
47868,4301,2611101,Presencial,Noturno,Pública Federal
47869,4301,2611101,Presencial,Matutino,Pública Federal
47870,1502,4209102,Presencial,Noturno,Pública Estadual
47871,2402,2903201,Presencial,Noturno,Pública Federal
47872,2402,2903201,Presencial,Integral,Pública Federal
47873,2402,2903201,Presencial,Vespertino,Pública Federal
47874,2402,2903201,Presencial,Matutino,Pública Federal
47875,1602,1501402,EAD,Matutino,Pública Federal
47876,1602,1501402,EAD,Noturno,Pública Federal
47877,1602,1501402,EAD,Integral,Pública Federal
47878,1602,1501402,EAD,Vespertino,Pública Federal
47879,3502,2924009,Presencial,Vespertino,Privada com fins lucrativos
47880,3502,2924009,Presencial,Integral,Privada com fins lucrativos
47881,3502,2924009,Presencial,Noturno,Privada com fins lucrativos
47882,3502,2924009,Presencial,Matutino,Privada com fins lucrativos
47883,3202,1600303,Presencial,Vespertino,Pública Estadual
47884,3202,1600303,Presencial,Integral,Pública Estadual
47885,3202,1600303,Presencial,Noturno,Pública Estadual
47886,4004,1721000,Presencial,Vespertino,Privada com fins lucrativos
47887,2001,3162500,Presencial,Integral,Privada com fins lucrativos
47888,2001,3162500,Presencial,Noturno,Privada com fins lucrativos
47889,2001,3162500,Presencial,Vespertino,Privada com fins lucrativos
47890,2001,3162500,Presencial,Matutino,Privada com fins lucrativos
47891,2001,5213087,Presencial,Noturno,Pública Estadual
47892,2001,5213087,Presencial,Matutino,Pública Estadual
47893,2001,5213087,Presencial,Integral,Pública Estadual
47894,2001,5213087,Presencial,Vespertino,Pública Estadual
47895,26,3506003,Presencial,Noturno,Privada sem fins lucrativos
47896,26,3506003,Presencial,Matutino,Privada sem fins lucrativos
47897,26,3506003,Presencial,Integral,Privada sem fins lucrativos
47898,79,2611606,Presencial,Integral,Privada com fins lucrativos
47899,3002,2612208,Presencial,Noturno,Pública Municipal
47900,3002,2612208,Presencial,Vespertino,Pública Municipal
47901,3002,2612208,Presencial,Integral,Pública Municipal
47902,72,3548807,Presencial,Noturno,Pública Estadual
47903,72,3548807,Presencial,Matutino,Pública Estadual
47904,72,3548807,Presencial,Integral,Pública Estadual
47905,72,3548807,Presencial,Vespertino,Pública Estadual
47906,6409,3507605,Presencial,Integral,Pública Estadual
47907,6409,3507605,Presencial,Noturno,Pública Estadual
47908,6409,3507605,Presencial,Matutino,Pública Estadual
47909,6409,3507605,Presencial,Vespertino,Pública Estadual
47910,79,3506003,Presencial,Integral,Pública Estadual
47911,79,3506003,Presencial,Noturno,Pública Estadual
47912,79,3506003,Presencial,Matutino,Pública Estadual
47913,79,3506003,Presencial,Vespertino,Pública Estadual
47914,72,3522307,Presencial,Integral,Pública Estadual
47915,72,3522307,Presencial,Noturno,Pública Estadual
47916,72,3522307,Presencial,Vespertino,Pública Estadual
47917,72,3522307,Presencial,Matutino,Pública Estadual
47918,3501,3169307,Presencial,Vespertino,Privada sem fins lucrativos
47919,3501,3169307,Presencial,Matutino,Privada sem fins lucrativos
47920,72,3518404,Presencial,Integral,Pública Estadual
47921,72,3518404,Presencial,Matutino,Pública Estadual
47922,72,3518404,Presencial,Noturno,Pública Estadual
47923,72,3518404,Presencial,Vespertino,Pública Estadual
47924,6409,3518404,Presencial,Noturno,Pública Estadual
47925,6409,3518404,Presencial,Matutino,Pública Estadual
47926,6409,3518404,Presencial,Integral,Pública Estadual
47927,6409,3518404,Presencial,Vespertino,Pública Estadual
47928,72,3530805,Presencial,Noturno,Pública Estadual
47929,72,3530805,Presencial,Integral,Pública Estadual
47930,72,3530805,Presencial,Vespertino,Pública Estadual
47931,72,3530805,Presencial,Matutino,Pública Estadual
47932,72,3541000,Presencial,Noturno,Pública Estadual
